Round,Group,Team_A,Team_B,Score_A,Score_B,Result,xG_Pre_A,xG_Pre_B,SPI_A,SPI_B,Shots_A,Shots_B,xG_Act_A,xG_Act_B
Group 1,A,Russia,Saudi Arabia,5,0,A,2.03,0.73,70.14,51.33,14,6,1.62,0.2
Group 1,A,Egypt,Uruguay,0,1,B,0.82,1.61,62.46,79.52,8,15,0.42,1.94
Group 1,B,Morocco,Iran,0,1,B,1.13,0.86,72.33,65.57,13,9,0.86,0.72
Group 1,B,Portugal,Spain,3,3,D,1.07,1.6,83.47,91.3,9,13,1.15,1.63
Group 1,C,France,Australia,2,1,A,2.61,0.69,87.18,61.69,12,6,1.38,1.03
Group 1,D,Argentina,Iceland,1,1,D,1.87,0.8,87.41,67.07,27,8,1.84,1.05
Group 1,C,Peru,Denmark,0,1,B,1.15,1.42,72.16,74.75,17,10,1.51,1.02
Group 1,D,Croatia,Nigeria,2,0,A,1.47,0.83,80.38,70.08,11,14,1.5,0.57
Group 1,E,Costa Rica,Serbia,0,1,B,0.98,1.55,64.9,73.82,10,10,0.89,0.42
Group 1,F,Germany,Mexico,0,1,B,2.13,0.95,90.61,75.78,26,13,1.43,1.12
Group 1,E,Brazil,Switzerland,1,1,D,1.83,0.84,92.82,78.14,21,6,1.6,1.08
Group 1,F,Sweden,South Korea,1,0,A,1.66,0.87,73.87,60.14,15,5,1.91,0.44
Group 1,G,Belgium,Panama,3,0,A,2.4,0.56,85.41,56.47,15,7,1.77,0.6
Group 1,G,Tunisia,England,1,2,B,0.56,1.95,59.59,83.73,6,18,0.91,2.82
Group 1,H,Colombia,Japan,1,2,B,1.51,0.96,80.53,71.43,8,14,0.96,2.4
Group 1,H,Poland,Senegal,1,2,B,1.47,1.04,73.28,65.97,11,8,1.07,0.86
Group 2,A,Russia,Egypt,3,1,A,1.61,0.74,72.33,61.37,11,13,1.1,1.39
Group 2,B,Portugal,Morocco,1,0,A,1.53,0.75,84.14,71.13,10,15,1.2,0.85
Group 2,A,Uruguay,Saudi Arabia,1,0,A,2.31,0.57,80.04,48.83,13,8,1.79,0.67
Group 2,B,Iran,Spain,0,1,B,0.49,2.23,66.4,91.5,7,18,0.69,1.8
Group 2,C,Denmark,Australia,1,1,D,1.78,1.0,74.38,62.53,10,13,0.78,1.37
Group 2,C,France,Peru,1,0,A,1.86,0.9,86.53,72.2,12,10,1.64,0.37
Group 2,D,Argentina,Croatia,0,3,B,1.26,1.02,87.15,81.11,10,14,0.99,1.86
Group 2,E,Brazil,Costa Rica,2,0,A,2.27,0.4,92.39,64.6,22,3,2.41,0.19
Group 2,D,Nigeria,Iceland,2,0,A,1.22,1.25,69.03,67.61,16,9,0.72,1.31
Group 2,E,Serbia,Switzerland,1,2,B,1.17,1.43,73.69,78.9,13,20,0.74,1.52
Group 2,G,Belgium,Tunisia,5,2,A,2.47,0.66,85.87,59.92,23,16,4.83,1.11
Group 2,F,South Korea,Mexico,1,2,B,0.86,1.67,59.09,76.67,17,13,0.93,1.86
Group 2,F,Germany,Sweden,2,1,A,1.93,0.96,89.87,74.41,18,7,1.66,1.13
Group 2,G,England,Panama,6,1,A,2.04,0.36,83.76,55.52,11,8,3.06,1.02
Group 2,H,Japan,Senegal,2,2,D,1.36,1.11,73.52,66.96,7,15,0.82,0.78
Group 2,H,Poland,Colombia,0,3,B,1.15,1.43,72.37,79.03,9,13,1.12,1.81
Group 3,A,Saudi Arabia,Egypt,2,1,A,0.95,1.51,48.84,61.61,23,7,2.81,0.96
Group 3,A,Uruguay,Russia,3,0,A,1.26,1.26,79.7,72.58,16,3,2.1,0.13
Group 3,B,Spain,Morocco,2,2,D,1.99,0.68,91.39,71.27,18,6,3.03,1.04
Group 3,B,Iran,Portugal,1,1,D,0.6,1.53,66.14,83.75,7,14,1.43,1.24
Group 3,C,Denmark,France,0,0,D,0.99,1.77,73.31,86.49,5,11,0.21,0.31
Group 3,C,Australia,Peru,0,2,B,1.06,1.49,63.58,71.65,14,4,1.08,0.22
Group 3,D,Nigeria,Argentina,1,2,B,0.73,1.5,70.18,85.51,9,8,1.23,0.89
Group 3,D,Iceland,Croatia,1,2,B,0.89,1.86,66.23,83.3,16,14,2.1,0.82
Group 3,F,South Korea,Germany,2,0,A,0.51,2.65,59.32,89.93,12,28,1.17,2.66
Group 3,F,Mexico,Sweden,0,3,B,1.22,1.28,76.62,74.34,20,15,1.53,2.32
Group 3,E,Serbia,Brazil,0,2,B,0.72,1.9,73.59,92.77,10,14,0.72,1.3
Group 3,E,Switzerland,Costa Rica,2,2,D,1.72,0.83,79.2,63.35,13,14,1.68,1.54
Group 3,H,Senegal,Colombia,0,1,B,0.79,1.39,67.87,80.49,7,4,0.28,0.33
Group 3,H,Japan,Poland,0,1,B,1.51,1.53,72.99,70.53,10,11,0.59,1.56
Group 3,G,England,Belgium,0,1,B,1.49,1.46,85.11,86.36,11,14,0.77,0.78
Group 3,G,Panama,Tunisia,1,2,B,1.24,1.47,54.72,60.35,9,14,0.45,2.49
Round of 16,,France,Argentina,4,3,A,1.28,1.12,85.83,85.28,9,10,2.11,0.71
