Team,SPI,Elo_Points
Russia,70.14,1678
Egypt,62.46,1644
Morocco,72.33,1733
Portugal,83.47,1969
France,87.18,1986
Argentina,87.41,1985
Peru,72.16,1916
Croatia,80.38,1853
Costa Rica,64.9,1743
Germany,90.61,2077
Brazil,92.82,2141
Sweden,73.87,1795
Belgium,85.41,1938
Tunisia,59.59,1656
Colombia,80.53,1927
Poland,73.28,1831
Saudi Arabia,51.33,1585
Uruguay,79.52,1893
Iran,65.57,1790
Spain,91.3,2044
Australia,61.69,1741
Iceland,67.07,1765
Denmark,74.75,1856
Nigeria,70.08,1684
Serbia,73.82,1778
Mexico,75.78,1850
Switzerland,78.14,1889
South Korea,60.14,1713
Panama,56.47,1658
England,83.73,1948
Japan,71.43,1684
Senegal,65.97,1750
